ID,Gazetteer,L1 code,L2 code,L3 code,L4 code,Kew region code,Kew region subdivision,Kew region,Synonym,Notes
1605,Nuguria Is.,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-NO,9.0000000000000000e+00,A,Melanesia,,
1606,Nui,6.0000000000000000e+00,6.0000000000000000e+01,TUV,TUV-OO,9.0000000000000000e+00,D,Samoan Islands,,
1607,Nuku Hiva,6.0000000000000000e+00,6.1000000000000000e+01,MRQ,MRQ-OO,9.0000000000000000e+00,E,S.E. Polynesia,,
1608,Nukufetau,6.0000000000000000e+00,6.0000000000000000e+01,TUV,TUV-OO,9.0000000000000000e+00,D,Samoan Islands,,
1609,Nukulaelae,6.0000000000000000e+00,6.0000000000000000e+01,TUV,TUV-OO,9.0000000000000000e+00,D,Samoan Islands,,
1610,Nukumanu Is.,6.0000000000000000e+00,6.0000000000000000e+01,SOL,SOL-NO,9.0000000000000000e+00,A,Melanesia,,
1611,Nukunau,6.0000000000000000e+00,6.0000000000000000e+01,GIL,GIL-OO,9.0000000000000000e+00,D,Samoan Islands,Nikunau,
1612,Nukunono,6.0000000000000000e+00,6.0000000000000000e+01,TOK,TOK-TO,9.0000000000000000e+00,D,Samoan Islands,,
1613,Nukuoro,6.0000000000000000e+00,6.2000000000000000e+01,CRL,CRL-MF,9.0000000000000000e+00,F,Micronesia,,
1614,Nupani I.,6.0000000000000000e+00,6.0000000000000000e+01,SCZ,SCZ-OO,9.0000000000000000e+00,A,Melanesia,,
1615,Nurakita,6.0000000000000000e+00,6.0000000000000000e+01,TUV,TUV-OO,9.0000000000000000e+00,D,Samoan Islands,Niulakita,
1616,Nyasaland,2.0000000000000000e+00,2.6000000000000000e+01,MLW,MLW-OO,1.0000000000000000e+01,E,South Tropical Africa,Malawi,
1617,Oahu,6.0000000000000000e+00,6.3000000000000000e+01,HAW,HAW-HI,9.0000000000000000e+00,G,Hawai'ian Islands,,
1618,Oaxaca,7.0000000000000000e+00,7.9000000000000000e+01,MXS,MXS-OA,1.4000000000000000e+01,,Central America,,
1619,Obi Is.,4.0000000000000000e+00,4.2000000000000000e+01,MOL,MOL-OO,6.0000000000000000e+00,C,Malay Islands,,
1620,Ocean I.,6.0000000000000000e+00,6.0000000000000000e+01,GIL,GIL-OO,9.0000000000000000e+00,D,Samoan Islands,Banaba,
